COUNT,0,IC,PARENT_IC,ENCODE,INDEX
1900,4019,3.7482029201967513,19.869936394547043,19.869946394547043,1.0
1700,42731,3.8594285553069754,9.910216568497772,9.910226568497771,1.0
1508,4280,3.9792725367833817,15.277084622134664,15.277094622134664,1.0
1396,5849,4.056445802028965,28.585876838562477,28.585886838562477,1.0
1325,51881,4.10864434693096,30.66249862275486,30.66250862275486,1.0
1235,0389,4.178985836289205,33.1429254417627,33.1429354417627,1.0
1212,2724,4.197784918722023,17.69949018046566,17.69950018046566,1.0
1177,41401,4.2270879780910064,38.30439699653636,38.304406996536365,1.0
947,5990,4.444512992165205,36.546189778991,36.546199778991,1.0
853,25000,4.549052537859604,30.3050929638568,30.3051029638568,1.0
777,53081,4.6423717349836355,50.28388308038441,50.283893080384416,1.0
740,99592,4.691161899153068,37.13494396969561,37.134953969695616,1.0
708,486,4.735367991657563,23.642112708246195,23.642122708246195,1.0
708,2762,4.735367991657563,46.30313842479845,46.30314842479845,1.0
705,2859,4.739614282539014,26.342048682277387,26.342058682277386,1.0
672,2851,4.787553744828133,26.342048682277387,26.342068682277386,2.0
669,5070,4.792028025223054,13.892615533238118,13.892625533238117,1.0
640,2449,4.8363439089975655,50.57022857452935,50.570238574529355,1.0
570,40390,4.952175724522687,10.397785330099495,10.397795330099495,1.0
543,2761,5.000702765417348,46.30313842479845,46.30315842479845,2.0
518,5859,5.0478368430918,41.11469155372401,41.11470155372401,1.0
507,5845,5.069301081760099,28.585876838562477,28.585896838562476,2.0
505,311,5.073253656075923,16.371065741427206,16.371075741427205,1.0
487,2875,5.109547962268693,37.90437192965443,37.904381929654434,1.0
481,45829,5.121944815245522,12.706184833892497,12.706194833892496,1.0
452,496,5.184129905519051,15.095647629750445,15.095657629750445,1.0
435,2760,5.222466054262599,46.30313842479845,46.30316842479845,3.0
425,412,5.245722916426866,5.245722916426866,5.245732916426865,1.0
410,41071,5.281654925652929,12.968549098359986,12.968559098359986,1.0
409,4241,5.284096929308482,18.43470394090698,18.43471394090698,1.0
404,42789,5.296397207390133,12.404554550714991,12.40456455071499,1.0
401,2767,5.303850658044714,46.30313842479845,46.303178424798446,4.0
401,5119,5.303850658044714,24.028273817839388,24.028283817839387,1.0
392,5856,5.326550245560821,41.11469155372401,41.11471155372401,2.0
387,2720,5.339387392321501,17.69949018046566,17.69951018046566,2.0
386,32723,5.341974715886452,36.7505043221523,36.750514322152306,1.0
379,3051,5.360275880268857,5.360275880268857,5.360285880268856,1.0
352,42823,5.434180909753186,25.801870846498865,25.801880846498864,1.0
352,99859,5.434180909753186,14.247086345316468,14.247096345316468,1.0
349,4168,5.442740163148856,31.328809351219373,31.328819351219373,1.0
348,40391,5.445609605576808,10.397785330099495,10.397805330099494,2.0
333,2930,5.489669595370839,14.995722211494066,14.995732211494065,1.0
332,5180,5.492677116434795,40.47933381252037,40.479343812520376,1.0
313,73300,5.55160889481113,25.662326415725694,25.662336415725694,1.0
309,99811,5.564470808453538,19.850171989897788,19.850181989897788,1.0
309,4589,5.564470808453538,31.206243140901798,31.206253140901797,1.0
287,9971,5.6383298695916615,19.609881487250895,19.609891487250895,1.0
286,4271,5.6418202745314305,29.90554814533194,29.90555814533194,1.0
281,2749,5.6594574160175375,5.6594574160175375,5.659467416017537,1.0
281,4240,5.6594574160175375,18.43470394090698,18.43472394090698,2.0
281,27652,5.6594574160175375,18.798037399020696,18.798047399020696,1.0
275,70703,5.681040987684711,76.06805254672032,76.06806254672033,1.0
270,42833,5.699390126352908,25.538424916160636,25.538434916160636,1.0
269,30000,5.703100705749444,23.867908077608696,23.867918077608696,1.0
269,2768,5.703100705749444,46.30313842479845,46.30318842479845,5.0
256,28521,5.752634640871721,18.533602472744775,18.533612472744775,1.0
256,85221,5.752634640871721,48.143510958943196,48.1435209589432,1.0
254,99812,5.760477818332746,19.850171989897788,19.850191989897787,2.0
250,00845,5.776351167489037,17.074163252840318,17.074173252840318,1.0
245,34982,5.7965538748065555,16.401218779597894,16.401228779597893,1.0
244,28529,5.800643860058081,18.533602472744775,18.533622472744774,2.0
244,41400,5.800643860058081,38.30439699653636,38.30441699653636,2.0
243,99662,5.804750642010735,66.54078870521175,66.54079870521176,1.0
242,49390,5.808874359194596,23.840150338429325,23.840160338429325,1.0
238,99731,5.825541411679808,23.371309575132834,23.371319575132834,1.0
238,431,5.825541411679808,12.948966227135454,12.948976227135454,1.0
237,27651,5.829751944216151,18.798037399020696,18.798057399020696,2.0
237,2639,5.829751944216151,31.717821132953336,31.717831132953336,1.0
233,27800,5.846773631785583,29.75468162496709,29.75469162496709,1.0
228,570,5.868466456396842,5.868466456396842,5.8684764563968415,1.0
221,6930,5.89964938383353,5.89964938383353,5.89965938383353,1.0
220,42832,5.904184538998921,25.538424916160636,25.538444916160636,2.0
219,43411,5.908740355534782,17.206552440886064,17.206562440886064,1.0
214,5715,5.931836070329432,54.994250000668124,54.99426000066813,1.0
214,99931,5.931836070329432,31.75749613060439,31.75750613060439,1.0
213,28860,5.936519919641857,16.541184824433195,16.541194824433195,1.0
210,42822,5.950704554633814,25.801870846498865,25.801890846498864,2.0
210,3572,5.950704554633814,66.6342550042154,66.63426500421541,1.0
206,2763,5.969935916561702,46.30313842479845,46.303198424798445,6.0
203,4254,5.984606106309496,44.08577761193854,44.08578761193854,1.0
202,5601,5.989544387950078,21.962432234702803,21.962442234702802,1.0
196,56400,6.019697426120766,12.817699841141785,12.817709841141784,1.0
196,4439,6.019697426120766,25.570799159099906,25.570809159099905,1.0
194,3004,6.029953926287955,24.26886927030093,24.26887927030093,1.0
194,1983,6.029953926287955,69.54022232142569,69.54023232142569,1.0
194,51884,6.029953926287955,30.66249862275486,30.66251862275486,2.0
193,34830,6.035121896446397,19.817902633631768,19.817912633631767,1.0
190,42732,6.050788013190797,9.910216568497772,9.910236568497771,2.0
187,60000,6.066703468496696,12.933698755004666,12.933708755004666,1.0
185,5789,6.077456260272958,19.325590220852106,19.325600220852106,1.0
185,5781,6.077456260272958,19.325590220852106,19.325610220852106,2.0
182,04104,6.093805398274488,63.70685792372939,63.70686792372939,1.0
180,34590,6.1048552344610725,15.456757170757044,15.456767170757043,1.0
179,99591,6.110426279510528,37.13494396969561,37.13496396969561,2.0
175,9982,6.133026111427768,24.046519055006115,24.046529055006115,1.0
175,04111,6.133026111427768,28.48087612027184,28.48088612027184,1.0
172,33829,6.15031760853783,28.05279459868045,28.05280459868045,1.0
170,49121,6.162013648301021,23.515890803943943,23.515900803943943,1.0
170,5712,6.162013648301021,54.994250000668124,54.99427000066812,2.0
169,2869,6.167913370428209,50.566177332099656,50.56618733209966,1.0
169,4275,6.167913370428209,29.90554814533194,29.90556814533194,2.0
168,2809,6.173848105948024,12.700975566833641,12.70098556683364,1.0
167,27801,6.1798182729345275,29.75468162496709,29.75470162496709,2.0
167,71590,6.1798182729345275,54.66251113204069,54.662521132040695,1.0
166,25060,6.18582429699474,29.891910714163544,29.891920714163543,1.0
162,1985,6.210215750118899,69.54022232142569,69.5402423214257,2.0
162,03849,6.210215750118899,37.027939026991305,37.02794902699131,1.0
158,5723,6.235217052324316,36.065390065882085,36.06540006588209,1.0
152,5853,6.273931564505006,41.11469155372401,41.11472155372401,3.0
148,03811,6.300599811587168,29.26042922288208,29.26043922288208,1.0
148,99674,6.300599811587168,75.4458856001808,75.4458956001808,1.0
145,99664,6.321078342930709,66.54078870521175,66.54080870521176,2.0
144,5770,6.327998785775282,38.81012904520321,38.810139045203215,1.0
144,2764,6.327998785775282,46.30313842479845,46.30320842479845,7.0
143,0380,6.334967455091376,33.1429254417627,33.1429454417627,2.0
142,70722,6.341985027750022,45.24023717879555,45.240247178795556,1.0
140,03842,6.356169662741979,37.027939026991305,37.027959026991304,2.0
139,3485,6.363338152220591,51.7958105524887,51.795820552488706,1.0
139,25040,6.363338152220591,30.685129823975863,30.685139823975863,1.0
139,4821,6.363338152220591,29.385846839845602,29.3858568398456,1.0
138,41519,6.370558400194078,32.85183432130272,32.85184432130272,1.0
133,20500,6.407462957129529,23.879123148428835,23.879133148428835,1.0
132,48241,6.415010162764912,33.701796232620545,33.70180623262055,1.0
131,1977,6.422614762150132,70.63150734802446,70.63151734802446,1.0
130,6826,6.430277634895701,87.85145346188484,87.85146346188485,1.0
129,5570,6.437999680989611,22.51891116081965,22.518921160819648,1.0
